"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"PageSpeed: Network Dependency Tree","Opportunity","Medium","704","100.000","Pages with a lot of latency on the critical path, caused by long chains and large resource download sizes. Additionally, pages with key requests that aren't yet prioritising fetch requests with link rel=preconnect to establish early connections to important third-party origins. Bulk export the pages and resources via 'Reports > PageSpeed > Network Dependency Tree' and selecting the appropriate report.","Avoid chaining critical requests by reducing the length of chains, reducing the download size of resources, or deferring the download of unnecessary resources to improve page load. Consider adding preconnect or dns-prefetch resource hints to establish early connections to important third-party origins. In general, try to use <link rel=""preload"">, as it's a more comprehensive performance tweak.",""
"PageSpeed: Reduce Unused CSS","Opportunity","Medium","486","80.730","Pages with unused CSS that are larger than necessary in bytes and reducing page speed. Bulk export the pages and CSS via 'Reports > PageSpeed > Reduce Unused CSS'.","Remove dead rules from stylesheets to reduce unnecessary bytes consumed by network activity. Inline critical CSS and defer the loading of CSS not used for above the fold content to improve page load performance.",""
"Sitemaps: Orphan URLs","Issue","Medium","81","12.620","URLs that are only in an XML Sitemap, but were not discovered during the crawl. Or, URLs that are only discovered from URLs in the XML Sitemap, but were not found in the crawl. These might be accidentally included in the XML Sitemap, or they might be pages that you wish to be indexed, and should really be linked to internally.","Review orphan URLs and link to them internally from the website if they should rank in the search results. Remove any pages from the XML Sitemap that should not be indexed and use appropriate directives such as 'noindex'.",""
"Search Console: Rich Result Invalid","Issue","Medium","1","0.160","URLs that have an error with one or more rich result enhancements that will prevent the rich result from showing in the Google search results.","Review the 'Rich Results Type Errors' column to see which Google features have invalid items. Export specific errors discovered by using the ""Bulk Export > URL Inspection > Rich Results"" export. Fix all errors to ensure rich results show in the Google search results.",""
"Page Titles: Duplicate","Opportunity","Medium","127","21.100","Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Links: Non-Descriptive Anchor Text In Internal Outlinks","Opportunity","Low","4","0.660","Pages that have internal outlinks with anchor text that is not descriptive, such as 'click here' or 'learn more' based upon the preferences under 'Config > Spider > Preferences'. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks with non-descriptive anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column has words such as 'click here', or 'learn more'. Export in bulk via 'Bulk Export > Links > Non-Descriptive Anchor Text In Internal Outlinks'.","Review the non-descriptive anchor text in outlinks and where appropriate update them to include useful and descriptive anchor text to help provide context to both users and search engines.",""
"Canonicals: Canonicalised","Warning","High","4","0.660","Pages that have a canonical to a different URL. The URL is 'canonicalised' to another location. This means the search engines are being instructed to not index the page, and the indexing and linking properties should be consolidated to the URL in the canonical.","These URLs should be reviewed carefully to ensure the indexing and link signals are being consolidated to the correct URL. In a perfect world, a website wouldn't need to canonicalise any URLs as only canonical versions would be linked to internally on a website, but often they are required due to various circumstances outside of control, and to prevent duplicate content. Update internal links to canonical versions of URLs where possible.",""
"Search Console: No Search Analytics Data","Warning","Low","35","5.470","URLs that are not returning impressions in the performance report in Google Search Console. URLs either didn't receive any impressions, or perhaps the URLs in the crawl are just different to those in the GSC profile selected.","Review URLs with no search analytics data and consider whether this is expected, or if they could be improved. Please select the correct property in GSC for accurate data.",""
"Images: Missing Alt Attribute","Issue","Low","44","3.380","Images that are missing an alt attribute all together. Click the address (URL) of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on, and are missing alt attributes. All images should contain an alt attribute with descriptive text, or blank when it's a decorative image.","Include alt attributes with descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",""
"Meta Description: Duplicate","Opportunity","Low","244","40.530","Pages which have duplicate meta descriptions. It's really important to have distinct and unique meta descriptions that communicate the benefits and purpose of each page. If they are duplicate or irrelevant, then they will be ignored by search engines in their snippets.","Update duplicate meta descriptions as necessary, so important pages contain a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Response Codes: External No Response","Warning","Low","12","0.510","External URLs with no response returned from the server. Usually due to a malformed URL, connection timeout, connection error, or connection refused. View URLs that link to no responses using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > External > No Response inlinks'.","Malformed URLs should be updated to the correct location and other connection issues can often be resolved by using different user-agents ('Config > User-Agent'), adjusting the crawl speed ('Config > Speed') or disabling firewalls & proxies. If they can be viewed in a browser, then it's often not an issue.",""
"Page Titles: Below 30 Characters","Opportunity","Medium","96","15.950","Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"Content: Readability Very Difficult","Opportunity","Low","44","7.310","Copy on the page is very difficult to read and best understood by university graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Images: Missing Alt Text","Issue","Low","21","1.610","Images that have an alt attribute, but are missing alt text. Click the address of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on them, and are missing alt text. Images should have descriptive alternative text about its purpose, which helps the blind and visually impaired, and the search engines understand it and its relevance to the web page.","Include descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",""
