"Site Crawled","https://almapay.com/"
"Start Date","2026-05-13"
"Start Time","11:27:32"
"Last Modified Date","2026-05-13"
"Last Modified Time","11:58:26"
"Elapsed","00:30:50"
"Report Date","2026-05-13"
"Report Time","11:58:27"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Clicks Above 0","409","63.91%","640","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","35","5.47%","640","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","640","Internal URLs with associated Google Search Console data"
"Orphan URLs","69","10.78%","640","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","640","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","640","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","640","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","640","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","640","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","640","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","640","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","700","100.00%","700","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","700","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","700","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","700","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","700","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","700","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","700","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","700","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","700","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","700","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","700","Internal URLs with 2xx response"
""
"Link Metrics"
"All","654","100.00%","654","Internal HTML/PDF pages"
""
"AI"
"All","662","100.00%","662","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.17%","602","Internal HTML pages with 2xx response"
"1","24","3.99%","602","Internal HTML pages with 2xx response"
"2","140","23.26%","602","Internal HTML pages with 2xx response"
"3","111","18.44%","602","Internal HTML pages with 2xx response"
"4","218","36.21%","602","Internal HTML pages with 2xx response"
"5","6","1.00%","602","Internal HTML pages with 2xx response"
"6","0","0.00%","602","Internal HTML pages with 2xx response"
"7","0","0.00%","602","Internal HTML pages with 2xx response"
"8","0","0.00%","602","Internal HTML pages with 2xx response"
"9","0","0.00%","602","Internal HTML pages with 2xx response"
"10+","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://almapay.com/","598","99.34%","602","Internal HTML pages with 2xx response"
"https://almapay.com/pt-PT","492","81.73%","602","Internal HTML pages with 2xx response"
"https://almapay.com/nl-BE","484","80.40%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-LU","480","79.73%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-BE","476","79.07%","602","Internal HTML pages with 2xx response"
"https://almapay.com/de-DE","455","75.58%","602","Internal HTML pages with 2xx response"
"https://almapay.com/nl-NL","452","75.08%","602","Internal HTML pages with 2xx response"
"https://almapay.com/es-ES","439","72.92%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR","380","63.12%","602","Internal HTML pages with 2xx response"
"https://almapay.com/it-IT","378","62.79%","602","Internal HTML pages with 2xx response"
"https://almapay.com/global","297","49.34%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/legal/mentions-legales","295","49.00%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/legal/politique-de-confidentialite","295","49.00%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/clients","291","48.34%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/tarifs","291","48.34%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/demo","290","48.17%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/produits/le-paiement-en-2-3-ou-4-fois","290","48.17%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/nous-contacter","290","48.17%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/blog","290","48.17%","602","Internal HTML pages with 2xx response"
"https://almapay.com/fr-FR/produits/pay-later","289","48.01%","602","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","700","100.00%"
