"Site Crawled","http://spilou.com/"
"Start Date","2026-04-12"
"Start Time","21:44:37"
"Last Modified Date","2026-04-12"
"Last Modified Time","21:44:52"
"Elapsed","00:00:15"
"Report Date","2026-04-12"
"Report Time","21:44:52"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Non-Indexable with Search Analytics Data","0","0.00%","88","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","88","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","88","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","88","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","88","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","88","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","88","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","88","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","88","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","130","100.00%","130","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","130","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","130","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","130","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","130","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","130","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","130","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","130","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","130","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","130","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","130","Internal URLs with 2xx response"
""
"Link Metrics"
"All","88","100.00%","88","Internal HTML/PDF pages"
""
"AI"
"All","86","100.00%","86","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","44","Internal HTML pages with 2xx response"
"1","1","2.27%","44","Internal HTML pages with 2xx response"
"2","0","0.00%","44","Internal HTML pages with 2xx response"
"3","5","11.36%","44","Internal HTML pages with 2xx response"
"4","0","0.00%","44","Internal HTML pages with 2xx response"
"5","37","84.09%","44","Internal HTML pages with 2xx response"
"6","0","0.00%","44","Internal HTML pages with 2xx response"
"7","1","2.27%","44","Internal HTML pages with 2xx response"
"8","0","0.00%","44","Internal HTML pages with 2xx response"
"9","0","0.00%","44","Internal HTML pages with 2xx response"
"10+","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://spilou.com/","44","100.00%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/","38","86.36%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/compte-google-my-business/","24","54.55%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/fiche-google-my-business/","17","38.64%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/repondre-avis-google/","17","38.64%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/ameliorer-referencement-google-my-business/","17","38.64%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/optimisation-fiche-google-my-business/","16","36.36%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/avis-google/","15","34.09%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/augmenter-visibilite-web/","14","31.82%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/ajouter-votre-entreprise-sur-google-my-business/","14","31.82%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/statistique-recherches-google/","14","31.82%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/demander-avis-google/","13","29.55%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/ajouter-des-photos-google-my-business/","13","29.55%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/services-fiche-google-my-business/","13","29.55%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/modifier-horaires-ouverture-google-my-business/","13","29.55%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/resoudre-la-suspension-compte-google/","12","27.27%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/enlever-compte-google-sans-le-supprimer/","12","27.27%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/supprimer-fiche-etablissement/","12","27.27%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/deconnecter-un-compte-google/","12","27.27%","44","Internal HTML pages with 2xx response"
"https://spilou.com/blog/posts/guide-pour-contacter-google-my-business/","12","27.27%","44","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","130","100.00%"
